date,open,high,low,close
2024-05-24T12:15:00+05:30,680.05,680.7,678.35,679.5
2024-05-24T12:30:00+05:30,679.5,680.7,678.95,679.55
2024-05-24T12:45:00+05:30,679.55,679.9,678.8,679.15
2024-05-24T13:00:00+05:30,679.3,680.0,678.1,678.35
2024-05-24T13:15:00+05:30,678.4,678.9,675.55,678.2
2024-05-24T13:30:00+05:30,678.25,678.25,676.3,676.6
2024-05-24T13:45:00+05:30,676.6,686.4,676.1,686.4
2024-05-24T14:00:00+05:30,686.4,689.25,681.25,688.55
2024-05-24T14:15:00+05:30,688.55,688.6,678.45,679.65
2024-05-24T14:30:00+05:30,679.85,680.55,675.4,679.05
2024-05-24T14:45:00+05:30,678.95,678.95,671.25,674.5
2024-05-24T15:00:00+05:30,674.65,675.15,671.05,672.7
2024-05-24T15:15:00+05:30,672.5,680.0,671.5,678.8
2024-05-27T09:15:00+05:30,685.25,689.5,676.55,681.8
2024-05-27T09:30:00+05:30,681.75,685.95,681.3,682.0
2024-05-27T09:45:00+05:30,682.05,684.0,677.85,678.7
2024-05-27T10:00:00+05:30,678.7,681.85,675.5,679.55
2024-05-27T10:15:00+05:30,679.9,681.85,679.75,681.0
2024-05-27T10:30:00+05:30,681.0,681.0,677.85,679.4
2024-05-27T10:45:00+05:30,679.4,681.0,679.05,680.0
2024-05-27T11:00:00+05:30,679.95,680.5,677.3,678.2
2024-05-27T11:15:00+05:30,678.2,681.0,677.55,680.55
2024-05-27T11:30:00+05:30,680.6,680.65,677.25,678.35
2024-05-27T11:45:00+05:30,678.4,679.0,677.5,678.45
2024-05-27T12:00:00+05:30,678.45,678.45,675.55,676.9
2024-05-27T12:15:00+05:30,676.95,677.95,676.35,677.0
2024-05-27T12:30:00+05:30,677.0,678.8,676.65,678.8
2024-05-27T12:45:00+05:30,678.8,679.0,676.8,677.15
2024-05-27T13:00:00+05:30,677.15,678.35,676.8,677.3
2024-05-27T13:15:00+05:30,677.1,677.95,677.05,677.5
2024-05-27T13:30:00+05:30,677.5,677.85,677.0,677.8
2024-05-27T13:45:00+05:30,677.75,682.0,677.0,681.05
2024-05-27T14:00:00+05:30,681.05,684.9,680.35,683.65
2024-05-27T14:15:00+05:30,683.65,683.95,680.0,680.3
2024-05-27T14:30:00+05:30,680.3,682.0,679.05,680.2
2024-05-27T14:45:00+05:30,680.2,681.0,677.5,677.75
2024-05-27T15:00:00+05:30,677.8,678.9,676.15,677.65
2024-05-27T15:15:00+05:30,677.7,680.6,676.75,678.5
2024-05-28T09:15:00+05:30,681.55,698.0,681.1,696.55
2024-05-28T09:30:00+05:30,696.45,697.2,688.65,690.55
2024-05-28T09:45:00+05:30,690.4,691.95,689.5,691.1
