date,open,high,low,close
2024-05-21T15:15:00+05:30,38.1,38.3,38.1,38.3
2024-05-22T09:15:00+05:30,38.7,39.0,38.25,38.35
2024-05-22T09:30:00+05:30,38.35,38.35,37.6,37.75
2024-05-22T09:45:00+05:30,37.75,38.0,37.7,38.0
2024-05-22T10:00:00+05:30,37.95,38.1,37.9,38.05
2024-05-22T10:15:00+05:30,38.05,38.15,38.0,38.1
2024-05-22T10:30:00+05:30,38.15,38.3,38.1,38.25
2024-05-22T10:45:00+05:30,38.3,38.3,38.15,38.25
2024-05-22T11:00:00+05:30,38.25,38.3,38.15,38.25
2024-05-22T11:15:00+05:30,38.25,38.25,38.15,38.2
2024-05-22T11:30:00+05:30,38.2,38.2,38.05,38.1
2024-05-22T11:45:00+05:30,38.1,38.2,38.05,38.1
2024-05-22T12:00:00+05:30,38.15,38.15,38.05,38.05
2024-05-22T12:15:00+05:30,38.05,38.1,38.0,38.1
2024-05-22T12:30:00+05:30,38.1,38.1,38.05,38.1
2024-05-22T12:45:00+05:30,38.05,38.1,38.0,38.1
2024-05-22T13:00:00+05:30,38.1,38.1,38.0,38.0
2024-05-22T13:15:00+05:30,38.0,38.1,38.0,38.1
2024-05-22T13:30:00+05:30,38.1,38.1,38.0,38.05
2024-05-22T13:45:00+05:30,38.05,38.1,38.0,38.1
2024-05-22T14:00:00+05:30,38.1,38.2,38.05,38.15
2024-05-22T14:15:00+05:30,38.15,38.2,38.1,38.1
2024-05-22T14:30:00+05:30,38.1,38.2,38.1,38.2
2024-05-22T14:45:00+05:30,38.2,38.2,38.05,38.1
2024-05-22T15:00:00+05:30,38.1,38.2,38.05,38.15
2024-05-22T15:15:00+05:30,38.15,38.15,38.05,38.1
2024-05-23T09:15:00+05:30,38.2,38.3,38.1,38.25
2024-05-23T09:30:00+05:30,38.2,38.25,38.15,38.15
2024-05-23T09:45:00+05:30,38.15,38.2,38.05,38.1
2024-05-23T10:00:00+05:30,38.1,38.1,38.0,38.1
2024-05-23T10:15:00+05:30,38.05,38.1,38.05,38.1
2024-05-23T10:30:00+05:30,38.1,38.1,37.9,37.95
2024-05-23T10:45:00+05:30,37.95,38.05,37.9,38.0
2024-05-23T11:00:00+05:30,38.0,38.0,37.95,38.0
2024-05-23T11:15:00+05:30,38.0,38.0,37.9,37.95
2024-05-23T11:30:00+05:30,37.95,38.0,37.9,38.0
2024-05-23T11:45:00+05:30,38.0,38.0,37.95,38.0
2024-05-23T12:00:00+05:30,38.0,38.0,37.95,38.0
2024-05-23T12:15:00+05:30,37.95,38.0,37.9,38.0
2024-05-23T12:30:00+05:30,37.95,38.0,37.9,37.95
2024-05-23T12:45:00+05:30,38.0,38.0,37.95,38.0
2024-05-23T13:00:00+05:30,38.0,38.0,37.9,37.95
2024-05-23T13:15:00+05:30,37.9,38.0,37.9,38.0
2024-05-23T13:30:00+05:30,37.95,38.0,37.95,38.0
2024-05-23T13:45:00+05:30,38.0,38.0,37.9,37.9
2024-05-23T14:00:00+05:30,37.95,38.0,37.9,37.9
2024-05-23T14:15:00+05:30,37.9,37.95,37.9,37.9
2024-05-23T14:30:00+05:30,37.95,37.95,37.9,37.9
2024-05-23T14:45:00+05:30,37.95,37.95,37.9,37.9
2024-05-23T15:00:00+05:30,37.9,38.0,37.9,37.9
2024-05-23T15:15:00+05:30,37.95,38.0,37.9,37.95
2024-05-24T09:15:00+05:30,37.95,38.2,37.8,38.15
2024-05-24T09:30:00+05:30,38.15,38.2,37.85,38.0
2024-05-24T09:45:00+05:30,37.95,38.0,37.85,37.9
2024-05-24T10:00:00+05:30,37.9,37.95,37.8,37.95
2024-05-24T10:15:00+05:30,37.95,37.95,37.8,37.85
2024-05-24T10:30:00+05:30,37.85,37.9,37.85,37.85
2024-05-24T10:45:00+05:30,37.9,37.9,37.8,37.9
2024-05-24T11:00:00+05:30,37.85,37.95,37.85,37.9
2024-05-24T11:15:00+05:30,37.9,37.95,37.85,37.9
2024-05-24T11:30:00+05:30,37.95,37.95,37.85,37.85
2024-05-24T11:45:00+05:30,37.9,37.9,37.85,37.9
2024-05-24T12:00:00+05:30,37.9,37.9,37.85,37.85
2024-05-24T12:15:00+05:30,37.9,37.9,37.8,37.9
2024-05-24T12:30:00+05:30,37.9,37.95,37.85,37.95
2024-05-24T12:45:00+05:30,37.9,37.95,37.85,37.85
2024-05-24T13:00:00+05:30,37.9,37.9,37.85,37.9
2024-05-24T13:15:00+05:30,37.85,37.9,37.85,37.9
2024-05-24T13:30:00+05:30,37.9,37.95,37.85,37.9
2024-05-24T13:45:00+05:30,37.95,37.95,37.85,37.85
2024-05-24T14:00:00+05:30,37.9,37.9,37.85,37.9
2024-05-24T14:15:00+05:30,37.85,37.9,37.85,37.9
2024-05-24T14:30:00+05:30,37.9,37.9,37.8,37.85
2024-05-24T14:45:00+05:30,37.85,37.85,37.8,37.8
2024-05-24T15:00:00+05:30,37.85,37.9,37.8,37.9
2024-05-24T15:15:00+05:30,37.9,37.9,37.8,37.85
2024-05-27T09:15:00+05:30,38.0,38.15,37.65,37.9
2024-05-27T09:30:00+05:30,37.95,38.0,37.85,37.9
2024-05-27T09:45:00+05:30,37.9,37.9,37.4,37.5
2024-05-27T10:00:00+05:30,37.55,37.75,37.5,37.7
2024-05-27T10:15:00+05:30,37.7,37.8,37.65,37.8
2024-05-27T10:30:00+05:30,37.75,37.8,37.7,37.75
2024-05-27T10:45:00+05:30,37.7,37.8,37.7,37.7
2024-05-27T11:00:00+05:30,37.75,37.8,37.65,37.7
2024-05-27T11:15:00+05:30,37.65,37.75,37.65,37.75
2024-05-27T11:30:00+05:30,37.75,37.75,37.65,37.7
2024-05-27T11:45:00+05:30,37.75,37.8,37.7,37.7
2024-05-27T12:00:00+05:30,37.75,37.75,37.65,37.7
2024-05-27T12:15:00+05:30,37.7,37.75,37.65,37.7
2024-05-27T12:30:00+05:30,37.7,37.7,37.65,37.7
2024-05-27T12:45:00+05:30,37.7,37.7,37.6,37.65
2024-05-27T13:00:00+05:30,37.65,37.7,37.6,37.7
2024-05-27T13:15:00+05:30,37.7,37.7,37.6,37.6
2024-05-27T13:30:00+05:30,37.65,37.7,37.6,37.65
2024-05-27T13:45:00+05:30,37.6,37.7,37.6,37.65
2024-05-27T14:00:00+05:30,37.65,37.7,37.6,37.7
2024-05-27T14:15:00+05:30,37.65,37.7,37.65,37.65
2024-05-27T14:30:00+05:30,37.65,37.7,37.65,37.7
2024-05-27T14:45:00+05:30,37.65,37.7,37.6,37.6
2024-05-27T15:00:00+05:30,37.6,37.7,37.55,37.6
2024-05-27T15:15:00+05:30,37.6,37.75,37.6,37.75
